YCR081W	0.0353	0.3689	0.0957
YNL188W	0.1205	0.4471	0.2695
YAL034C	0.0219	0.3516	0.0623
YPL171C	0.0303	0.245	0.1235
YGR118W	0.0002	0.1575	0.001
YLR253W	0.021	0.3939	0.0534
YJL111W	0.0068	0.3564	0.0191
YGR179C	0.0728	0.548	0.1329
YBR128C	0.047	0.3625	0.1296
YPL234C	0.0001	0.1311	0.001
YLR057W	0.0735	0.3357	0.219
YIR009W	0.0229	0.2624	0.0874
YDR111C	0.0251	0.4573	0.0548
YGL023C	0.0441	0.4566	0.0966
YCR005C	0.0171	0.3799	0.0449
YGR102C	0.123	0.334	0.3682
YKL028W	0.0313	0.3785	0.0828
YDL045C	0.0161	0.3751	0.0428
YJL112W	0.0457	0.3412	0.1339
YOL048C	0.0427	0.3337	0.1281
YBR131W	0.0812	0.3942	0.2059
YAL026C	0.0143	0.3483	0.041
YER041W	0.095	0.407	0.2335
YBR055C	0.071	0.4587	0.1549
YGR142W	0.1172	0.6353	0.1845
YGR041W	0.1286	0.3804	0.3379
YPL167C	0.0745	0.4559	0.1634
YDL095W	0.0389	0.4009	0.0971
YAL043C	0.0348	0.3136	0.111
YDL201W	0.0104	0.3102	0.0334
YOL138C	0.0517	0.397	0.1303
YBR235W	0.0209	0.4035	0.0517
YHR105W	0.0501	0.4564	0.1098
YGL232W	0.0271	0.4585	0.0592
YPR128C	0.0463	0.3541	0.1307
YNL048W	0.0469	0.4373	0.1073
YHR167W	0.0407	0.283	0.144
YOL098C	0.0344	0.4046	0.0851
YIL030C	0.0275	0.3529	0.078
YMR062C	0.018	0.3722	0.0482
YAL019W	0.0208	0.3474	0.06
YKL065C	0.0277	0.2144	0.129
YLR065C	0.0365	0.3914	0.0934
YNL224C	0.0798	0.5824	0.1369
YFR040W	0.023	0.4134	0.0558
YFR042W	0.0404	0.3879	0.1041
YGR088W	0.0071	0.4803	0.0148
YDR520C	0.061	0.4321	0.1411
YBR087W	0.0225	0.3885	0.0578
YMR204C	0.0651	0.46	0.1415
NOSGD	0.0232	0.1611	0.144
YDR037W	0.1459	0.4972	0.2934
YCR020C	0.0193	0.4842	0.0398
YNR001W-A	0.0459	0.0608	0.7537
YOR161C	0.0125	0.4237	0.0294
YAL014C	0.0547	0.2734	0.2001
YER025W	0.0035	0.2384	0.0146
YKL139W	0.0443	0.3771	0.1175
YDR170C	0.0153	0.41	0.0374
YJR096W	0.0255	0.2885	0.0885
YDR497C	0.0153	0.3654	0.0419
YFL009W	17.6481	0.8657	20.386
YLR133W	0.0338	0.3459	0.0978
YMR159C	0.0543	0.3637	0.1494
YML082W	0.0204	0.3189	0.0638
YAL001C	0.0465	0.4317	0.1078
YBR096W	0.0457	0.2835	0.1611
YIL055C	0.0542	0.3622	0.1498
YNR053C	0.0067	0.3518	0.0191
YDL102W	0.0087	0.4668	0.0187
YDR390C	0.065	0.3883	0.1673
YDR361C	0.0309	0.3064	0.1007
YLR049C	0.0333	0.3718	0.0895
YHR087W	0.01	0.3449	0.0289
YHR062C	0.0222	0.2602	0.0854
YFL014W	0.014	0.2161	0.0649
YDR372C	0.0113	0.2967	0.0381
YOR128C	0.0107	0.371	0.0289
YPR025C	0.0632	0.4751	0.1331
YHR063C	0.0246	0.3666	0.0671
YBR002C	0.0119	0.2446	0.0487
YJR101W	0.0292	0.4111	0.071
YDL087C	0.0229	0.347	0.0659
YPL256C	0.0216	0.4183	0.0515
YOR250C	0.03	0.352	0.0852
YGL243W	0.0764	0.3588	0.2129
YGL201C	0.0162	0.4073	0.0398
YBR135W	0.0037	0.304	0.0122
YGR257C	0.0251	0.3574	0.0702
YAL038W	0.0057	0.0585	0.0973
YMR179W	0.0751	0.4388	0.1712
YGR143W	0.0257	0.4678	0.0549
YKL182W	0.0055	0.2836	0.0195
YPL249C-A	0.0	0.0343	0.001
YBR258C	0.0825	0.5343	0.1545
YKL210W	0.0118	0.3554	0.0332
YJL061W	0.0874	0.4028	0.217
YKL127W	0.0066	0.3614	0.0181
YDR472W	0.0347	0.5728	0.0605
YDR383C	0.0635	0.454	0.1398
YHR209W	0.09	0.4513	0.1993
YFL010C	0.0307	0.312	0.0985
YLR453C	0.1495	0.4528	0.3302
YMR142C	0.005	0.0429	0.1155
YGL224C	0.0239	0.4066	0.0587
YOR376W	0.0383	0.0511	0.7498
YKL137W	0.0268	0.5121	0.0523
YLR344W	0.0081	0.112	0.0727
YNL087W	0.0376	0.3635	0.1035
YKR058W	0.0958	0.3533	0.2711
YPR016C	0.002	0.2152	0.0094
YBR121C	0.0064	0.2968	0.0215
YGR216C	0.0492	0.3693	0.1331
YHL022C	0.0653	0.4671	0.1398
YML106W	0.0044	0.2533	0.0174
YHR078W	0.0325	0.324	0.1003
YPL145C	0.0046	0.2968	0.0154
YGR183C	0.0006	0.5595	0.001
YOR274W	0.0439	0.4886	0.0899
YBR285W	0.0585	0.2538	0.2305
YPL177C	0.0513	0.3475	0.1477
YNL191W	0.0107	0.3354	0.0319
YGL215W	0.0342	0.341	0.1003
YAL035W	0.0218	0.3222	0.0675
YDR464W	0.0738	0.4895	0.1507
YCR093W	0.0253	0.382	0.0663
YOR044W	0.0629	0.3897	0.1615
